partition_column,movie_id,movie_name,rating,user_id
1,242,Kolya (1996),3,196
2,302,L.A. Confidential (1997),3,186
3,377,Heavyweights (1994),1,22
4,51,Legends of the Fall (1994),2,244
5,346,Jackie Brown (1997),1,166
6,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4,298
7,265,Hunt for Red October,2,115
8,465,Jungle Book,5,253
9,451,Grease (1978),3,305
10,86,Remains of the Day,3,6
11,257,Men in Black (1997),2,62
12,1014,Romy and Michele's High School Reunion (1997),5,286
13,222,Star Trek: First Contact (1996),5,200
14,40,To Wong Foo,3,210
15,29,Batman Forever (1995),3,224
16,785,Only You (1994),3,303
17,387,Age of Innocence,5,122
18,274,Sabrina (1995),2,194
19,1042,Just Cause (1995),4,291
20,1184,Endless Summer 2,2,234
21,392,Man Without a Face,4,119
22,486,Sabrina (1954),4,167
23,144,Die Hard (1988),4,299
24,118,Twister (1996),2,291
25,1,Toy Story (1995),4,308
26,546,Broken Arrow (1996),2,95
27,95,Aladdin (1992),5,38
28,768,Casper (1995),2,102
29,277,Restoration (1995),4,63
30,234,Jaws (1975),5,160
31,246,Chasing Amy (1997),3,50
32,98,Silence of the Lambs,4,301
33,193,Right Stuff,4,225
34,88,Sleepless in Seattle (1993),4,290
35,194,Sting,3,97
36,274,Sabrina (1995),4,157
37,1081,Curdled (1996),1,181
38,603,Rear Window (1954),5,278
39,796,Speechless (1994),1,276
40,32,Crumb (1994),4,7
41,16,French Twist (Gazon maudit) (1995),4,10
42,304,Fly Away Home (1996),4,284
43,979,Trigger Effect,2,201
44,564,Tales from the Hood (1995),3,276
45,327,Cop Land (1997),5,287
46,201,Evil Dead II (1987),5,246
47,1137,Beautiful Thing (1996),5,242
48,241,Last of the Mohicans,5,249
49,4,Get Shorty (1995),5,99
50,332,Kiss the Girls (1997),3,178
51,100,Fargo (1996),4,251
52,432,Fantasia (1940),2,81
53,322,Murder at 1600 (1997),4,260
54,181,Return of the Jedi (1983),5,25
55,196,Dead Poets Society (1989),5,59
56,679,Conan the Barbarian (1981),2,72
57,384,Naked Gun 33 1/3: The Final Insult (1994),4,87
58,143,Sound of Music,5,290
59,423,E.T. the Extra-Terrestrial (1982),5,42
60,515,Boot,4,292
61,20,Angels and Insects (1995),3,115
62,288,Scream (1996),1,20
63,219,Nightmare on Elm Street,4,201
64,526,Ben-Hur (1959),3,13
65,919,City of Lost Children,4,246
66,26,Brothers McMullen,5,138
67,232,Young Guns (1988),1,167
68,427,To Kill a Mockingbird (1962),5,60
69,304,Fly Away Home (1996),5,57
70,274,Sabrina (1995),4,223
71,512,Wings of Desire (1987),4,189
72,15,Mr. Holland's Opus (1995),3,243
73,1049,House Arrest (1996),1,92
74,416,Old Yeller (1957),3,246
75,165,Jean de Florette (1986),4,194
76,690,Seven Years in Tibet (1997),2,241
77,248,Grosse Pointe Blank (1997),4,178
78,1444,That Darn Cat! (1965),3,254
79,5,Copycat (1995),3,293
80,229,Star Trek III: The Search for Spock (1984),5,127
81,237,Jerry Maguire (1996),5,225
82,229,Star Trek III: The Search for Spock (1984),3,299
83,480,North by Northwest (1959),5,225
84,54,Outbreak (1995),3,276
85,144,Die Hard (1988),5,291
86,366,Dangerous Minds (1995),4,222
87,518,Miller's Crossing (1990),5,267
88,403,Batman (1989),3,42
89,111,Truth About Cats & Dogs,4,11
90,625,Sword in the Stone,4,95
91,338,Bean (1997),4,8
92,25,Birdcage,4,162
93,1016,Con Air (1997),4,87
94,154,Monty Python's Life of Brian (1979),5,279
95,275,Sense and Sensibility (1995),2,145
96,1153,Backbeat (1993),5,119
97,498,African Queen,4,62
98,382,Adventures of Priscilla,3,62
99,209,This Is Spinal Tap (1984),4,28
100,23,Taxi Driver (1976),4,135
101,294,Liar Liar (1997),3,32
102,382,Adventures of Priscilla,5,90
103,208,Young Frankenstein (1974),4,286
104,685,Executive Decision (1996),3,293
105,144,Die Hard (1988),4,216
106,328,Conspiracy Theory (1997),5,166
107,496,It's a Wonderful Life (1946),4,250
108,132,Wizard of Oz,5,271
109,174,Raiders of the Lost Ark (1981),5,160
110,118,Twister (1996),4,265
111,498,African Queen,3,198
112,96,Terminator 2: Judgment Day (1991),5,42
113,151,Willy Wonka and the Chocolate Factory (1971),5,168
114,307,Devil's Advocate,4,110
115,144,Die Hard (1988),4,58
116,648,Quiet Man,4,90
117,346,Jackie Brown (1997),4,271
118,21,Muppet Treasure Island (1996),3,62
119,832,Bogus (1996),3,279
120,514,Annie Hall (1977),4,237
121,789,Swimming with Sharks (1995),4,94
122,485,My Fair Lady (1964),3,128
123,317,In the Name of the Father (1993),4,298
124,195,Terminator,5,44
125,200,Shining,5,264
126,385,True Lies (1994),2,194
127,195,Terminator,5,72
128,750,Amistad (1997),5,222
129,264,Mimic (1997),3,250
130,265,Hunt for Red October,3,41
131,245,Devil's Own,3,224
132,135,2001: A Space Odyssey (1968),3,82
133,1147,My Family (1995),4,262
134,471,Courage Under Fire (1996),3,293
135,658,Pump Up the Volume (1990),3,216
136,140,Homeward Bound: The Incredible Journey (1993),3,250
137,23,Taxi Driver (1976),5,59
138,379,Tales From the Crypt Presents: Demon Knight (1995),5,286
139,815,One Fine Day (1996),4,244
140,479,Vertigo (1958),4,7
141,368,Bio-Dome (1996),1,174
142,274,Sabrina (1995),4,87
143,1211,Blue Sky (1994),2,194
144,1134,Get on the Bus (1996),2,82
145,836,Ninotchka (1939),2,13
146,272,Good Will Hunting (1997),4,13
147,756,Father of the Bride Part II (1995),2,244
148,427,To Kill a Mockingbird (1962),5,305
149,787,Roommates (1995),2,95
150,14,Postino,2,43
151,955,Before Sunrise (1995),4,299
152,419,Mary Poppins (1964),3,57
153,405,Mission: Impossible (1996),3,84
154,504,Bonnie and Clyde (1967),4,269
155,111,Truth About Cats & Dogs,3,299
156,466,Red Rock West (1992),4,194
157,135,2001: A Space Odyssey (1968),4,160
158,268,Chasing Amy (1997),3,99
159,486,Sabrina (1954),4,10
160,117,Rock,4,259
161,427,To Kill a Mockingbird (1962),3,85
162,919,City of Lost Children,4,303
163,273,Heat (1995),5,213
164,514,Annie Hall (1977),3,121
165,98,Silence of the Lambs,5,90
166,559,Interview with the Vampire (1994),2,49
167,794,It Could Happen to You (1994),3,42
168,323,Dante's Peak (1997),2,155
169,117,Rock,4,68
170,177,Good,4,172
171,4,Get Shorty (1995),4,19
172,231,Batman Returns (1992),4,268
173,2,GoldenEye (1995),3,5
174,117,Rock,2,305
175,294,Liar Liar (1997),4,44
176,137,Big Night (1996),4,43
177,1336,Kazaam (1996),1,279
178,466,Red Rock West (1992),5,80
179,164,Abyss,4,254
180,281,River Wild,3,298
181,1240,Ghost in the Shell (Kokaku kidotai) (1995),1,279
182,298,Face/Off (1997),4,66
183,443,Birds,3,18
184,1035,Cool Runnings (1993),2,268
185,79,Fugitive,4,99
186,98,Silence of the Lambs,4,13
187,258,Contact (1997),3,26
188,455,Jackie Chan's First Strike (1996),4,7
189,755,Jumanji (1995),4,222
190,673,Cape Fear (1962),5,200
191,328,Conspiracy Theory (1997),4,119
192,172,Empire Strikes Back,5,213
193,322,Murder at 1600 (1997),3,276
194,1217,Assassins (1995),3,94
195,379,Tales From the Crypt Presents: Demon Knight (1995),4,130
196,328,Conspiracy Theory (1997),4,38
197,719,Canadian Bacon (1994),3,160
198,1267,Clockers (1995),3,293
199,930,Chain Reaction (1996),2,26
200,216,When Harry Met Sally... (1989),4,130
201,1079,Joe's Apartment (1996),3,92
202,452,Jaws 2 (1978),4,256
203,61,Three Colors: White (1994),4,1
204,48,Hoop Dreams (1994),4,72
205,755,Jumanji (1995),3,56
206,360,Wonderland (1997),4,13
207,405,Mission: Impossible (1996),2,15
208,77,Firm,3,92
209,476,First Wives Club,2,207
210,174,Raiders of the Lost Ark (1981),5,292
211,483,Casablanca (1942),5,232
212,748,Saint,2,251
213,26,Brothers McMullen,3,224
214,220,Mirror Has Two Faces,4,181
215,255,My Best Friend's Wedding (1997),4,259
216,471,Courage Under Fire (1996),4,305
217,280,Up Close and Personal (1996),3,52
218,202,Groundhog Day (1993),5,161
219,408,Close Shave,5,148
220,235,Mars Attacks! (1996),2,125
221,228,Star Trek: The Wrath of Khan (1982),5,97
222,1098,Flirting With Disaster (1996),4,58
223,234,Jaws (1975),4,83
224,347,Wag the Dog (1997),4,90
225,178,12 Angry Men (1957),5,272
226,181,Return of the Jedi (1983),3,194
227,478,Philadelphia Story,4,125
228,688,Leave It to Beaver (1997),1,110
229,14,Postino,4,299
230,10,Richard III (1995),5,151
231,127,Godfather,4,269
232,14,Postino,5,6
233,106,Diabolique (1996),3,54
234,69,Forrest Gump (1994),5,303
235,944,Renaissance Man (1994),1,16
236,790,Tommy Boy (1995),4,301
237,1091,Pete's Dragon (1977),3,276
238,214,Pink Floyd - The Wall (1982),2,305
239,1028,Grumpier Old Men (1995),2,194
240,323,Dante's Peak (1997),2,91
