movie_id,movie_name,count
50,Star Wars (1977),325
100,Fargo (1996),227
127,Godfather,214
174,Raiders of the Lost Ark (1981),202
56,Pulp Fiction (1994),188
318,Schindler's List (1993),186
98,Silence of the Lambs,181
313,Titanic (1997),179
172,Empire Strikes Back,172
181,Return of the Jedi (1983),171
64,Shawshank Redemption,163
173,Princess Bride,159
12,Usual Suspects,149
483,Casablanca (1942),141
22,Braveheart (1995),134
258,Contact (1997),132
286,English Patient,131
357,One Flew Over the Cuckoo's Nest (1975),126
168,Monty Python and the Holy Grail (1974),125
302,L.A. Confidential (1997),120
1,Toy Story (1995),119
89,Blade Runner (1982),112
603,Rear Window (1954),107
191,Amadeus (1984),107
496,It's a Wonderful Life (1946),104
96,Terminator 2: Judgment Day (1991),103
132,Wizard of Oz,102
183,Alien (1979),101
79,Fugitive,101
134,Citizen Kane (1941),101
69,Forrest Gump (1994),100
7,Twelve Monkeys (1995),99
269,Full Monty,97
9,Dead Man Walking (1995),97
185,Psycho (1960),95
187,Godfather: Part II,95
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),95
135,2001: A Space Odyssey (1968),95
427,To Kill a Mockingbird (1962),95
195,Terminator,94
197,Graduate,93
423,E.T. the Extra-Terrestrial (1982),93
272,Good Will Hunting (1997),93
210,Indiana Jones and the Last Crusade (1989),93
515,Boot,88
204,Back to the Future (1985),86
300,Air Force One (1997),85
276,Leaving Las Vegas (1995),85
176,Aliens (1986),85
288,Scream (1996),85
179,Clockwork Orange,84
8,Babe (1995),84
275,Sense and Sensibility (1995),84
180,Apocalypse Now (1979),84
194,Sting,81
151,Willy Wonka and the Chocolate Factory (1971),81
475,Trainspotting (1996),80
511,Lawrence of Arabia (1962),79
238,Raising Arizona (1987),78
480,North by Northwest (1959),77
117,Rock,77
216,When Harry Met Sally... (1989),76
121,Independence Day (ID4) (1996),76
285,Secrets & Lies (1996),75
237,Jerry Maguire (1996),75
15,Mr. Holland's Opus (1995),74
97,Dances with Wolves (1990),74
143,Sound of Music,74
182,GoodFellas (1990),73
169,Wrong Trousers,73
11,Seven (Se7en) (1995),72
268,Chasing Amy (1997),71
408,Close Shave,70
228,Star Trek: The Wrath of Khan (1982),69
28,Apollo 13 (1995),69
23,Taxi Driver (1976),68
654,Chinatown (1974),68
234,Jaws (1975),68
144,Die Hard (1988),67
175,Brazil (1985),67
257,Men in Black (1997),66
479,Vertigo (1958),66
124,Lone Star (1996),66
196,Dead Poets Society (1989),66
222,Star Trek: First Contact (1996),65
199,Bridge on the River Kwai,65
186,Blues Brothers,64
202,Groundhog Day (1993),64
14,Postino,63
82,Jurassic Park (1993),63
435,Butch Cassidy and the Sundance Kid (1969),63
514,Annie Hall (1977),62
208,Young Frankenstein (1974),62
200,Shining,61
137,Big Night (1996),60
209,This Is Spinal Tap (1984),60
265,Hunt for Red October,60
178,12 Angry Men (1957),60
153,Fish Called Wanda,60
83,Much Ado About Nothing (1993),59
71,Lion King,59
315,Apt Pupil (1998),58
498,African Queen,58
527,Gandhi (1982),58
133,Gone with the Wind (1939),57
655,Stand by Me (1986),56
484,Maltese Falcon,56
651,Glory (1989),55
211,M*A*S*H (1970),55
657,Manchurian Candidate,55
170,Cinema Paradiso (1988),53
95,Aladdin (1992),53
215,Field of Dreams (1989),53
432,Fantasia (1940),53
223,Sling Blade (1996),52
156,Reservoir Dogs (1992),51
205,Patton (1970),51
742,Ransom (1996),50
150,Swingers (1996),50
190,Henry V (1989),49
705,Singin' in the Rain (1952),49
333,Game,49
282,Time to Kill,48
42,Clerks (1994),48
588,Beauty and the Beast (1991),48
520,Great Escape,47
482,Some Like It Hot (1959),46
86,Remains of the Day,46
294,Liar Liar (1997),46
192,Raging Bull (1980),46
